Ela|24.02.2018|00:14|1|ANDORRA LA VELLA
Aro|24.02.2018|00:09|1|KATHMANDU
popo|24.02.2018|00:12|1|MALABO
koko|24.02.2018|00:10|1|DAMASCUS
qaqa|24.02.2018|00:07|1|MINSK
sasa|24.02.2018|00:11|1|BUENOS AIRES
Marcin|24.02.2018|00:12|1|BAGHDAD
Ela|24.02.2018|00:06|1|DUBLIN
t|24.02.2018|00:14|1|BUCHAREST
Tomek|25.02.2018|00:14|1|MBABANE
Radek|25.02.2018|00:38|8|BELMOPAN
Ela|25.02.2018|00:53|7|BOGOTA
m|27.02.2018|01:05|7|AMSTERDAM
